time,pressure_GS_5,temperature_GS_5,void_GS_5
0.277,1992342.3341481,490.08939405064,0.85187649186257
0.278,1986652.7761039,489.83183930166,0.85
0.279,1962108.5720444,489.70402052743,0.85
0.28,1946991.6909925,489.5762409374,0.85
0.281,1931874.8085945,489.39224211493,0.8536
0.282,1924409.179479,489.32061930993,0.8607
0.283,1916695.8702116,489.10022503502,0.86485122603656
0.284,1901578.9877109,489.0649899185,0.86878890374332
0.285,1886462.106659,488.80819321157,0.87270160427808
0.286,1877283.6645829,488.67961501275,0.8748
0.287,1871282.4827548,488.55176310811,0.8739
0.288,1871219.7336161,488.42398454669,0.87296347197107
0.289,1871156.99605,488.29616580397,0.8715904159132
0.29,1860400.7513098,488.16836388411,0.8705
0.291,1855976.6831458,488.04058350464,0.87099754792688
0.292,1840860.4894253,487.91620810717,0.8749
0.293,1825744.2966205,487.91477203844,0.87888510922871
0.294,1813276.3356755,487.78695933477,0.88200356665181
0.295,1809054.7838586,487.6591403851,0.8837
0.296,1795447.7878123,487.53134760269,0.8837
0.297,1780330.9067605,487.53329798344,0.8829
0.298,1766152.9746984,487.4055268553,0.8829
0.299,1765151.2801834,487.27770013628,0.882
0.3,1765088.5367921,487.02010154371,0.88123978300181
0.301,1749971.658952,486.86215341372,0.8803
0.302,1749908.9158341,486.76451935132,0.8803
0.303,1745047.1486723,486.63670040166,0.88241061078912
0.304,1734729.9774512,486.42410411307,0.88460619705751
0.305,1719613.0946464,486.25128567286,0.88675532768614
0.306,1704496.212818,485.87208947808,0.88904511814534
0.307,1697922.7357615,485.47647989379,0.8883
0.308,1689316.5889138,485.21883287439,0.88756274864376
0.309,1674199.7078619,485.04409736627,0.8854058318264
0.31,1659082.8251242,484.96325062086,0.88323242876526
0.311,1650796.216464,484.83543174543,0.88249692376282
0.312,1643903.1958089,484.70762507947,0.884
0.313,1643840.4578227,484.57979835132,0.8875
0.314,1643777.7099274,484.45203082333,0.8883
0.315,1633914.403926,484.29805140522,0.8902
0.316,1628598.7764771,484.02204640149,0.89431671868034
0.317,1610352.0650052,483.48602755984,0.8964578243424
0.318,1583310.87472,483.16198196686,0.89866736513598
0.319,1568193.9936681,482.80398510659,0.9008
0.32,1553077.1063426,482.64679025364,0.90222403031654
0.321,1548108.475675,482.38908639727,0.90524293357111
0.322,1537897.4849235,482.2359361686,0.907
0.323,1522780.6013865,481.52543002192,0.9096935828877
0.324,1507664.4093346,481.16392973199,0.91360606330807
0.325,1500982.3810955,480.8395011849,0.9167
